MNK
LATEST_ANNOUNCEMENT_DT
6/5/2013
6/5/2013
6/5/2013
6/5/2013
8/9/2013
11/7/2013
2/6/2014
5/8/2014
8/7/2014
11/19/2014
2/3/2015
5/5/2015
8/4/2015
11/23/2015
02/02/2016
05/03/2016
08/02/2016
11/29/2016
02/07/2017
05/02/2017
