EPR
LATEST_ANNOUNCEMENT_DT
9/30/1997
4/13/1998
7/14/1998
10/13/1998
2/17/1999
4/12/1999
7/26/1999
10/25/1999
2/14/2000
4/24/2000
7/31/2000
10/31/2000
2/15/2001
5/14/2001
8/1/2001
11/7/2001
2/14/2002
5/9/2002
7/30/2002
10/23/2002
2/12/2003
5/7/2003
7/23/2003
10/22/2003
2/25/2004
5/5/2004
7/26/2004
10/28/2004
3/1/2005
4/28/2005
7/28/2005
10/26/2005
2/24/2006
5/1/2006
7/31/2006
11/1/2006
2/26/2007
4/24/2007
7/31/2007
10/30/2007
2/25/2008
4/29/2008
7/29/2008
10/28/2008
2/23/2009
5/6/2009
7/27/2009
11/4/2009
2/25/2010
5/3/2010
7/29/2010
11/2/2010
2/28/2011
5/2/2011
7/28/2011
11/2/2011
2/23/2012
5/1/2012
7/26/2012
10/30/2012
2/26/2013
4/30/2013
7/25/2013
11/5/2013
2/27/2014
4/29/2014
7/24/2014
10/28/2014
2/24/2015
4/28/2015
8/4/2015
10/28/2015
2/24/2016
04/28/2016
08/03/2016
11/03/2016
02/28/2017
04/27/2017
