PRFT
LATEST_ANNOUNCEMENT_DT
3/31/1999
8/24/1999
10/18/1999
3/3/2000
5/2/2000
7/25/2000
10/18/2000
1/30/2001
4/25/2001
7/25/2001
10/23/2001
2/20/2002
4/29/2002
8/14/2002
10/30/2002
2/25/2003
4/30/2003
7/30/2003
10/28/2003
1/27/2004
4/27/2004
7/27/2004
11/3/2004
2/2/2005
5/5/2005
8/3/2005
11/2/2005
2/28/2006
5/3/2006
8/3/2006
11/2/2006
2/21/2007
5/10/2007
8/9/2007
11/8/2007
3/4/2008
5/7/2008
8/7/2008
11/6/2008
3/6/2009
5/7/2009
8/5/2009
11/5/2009
3/4/2010
5/6/2010
8/5/2010
11/4/2010
3/3/2011
5/5/2011
8/4/2011
11/3/2011
3/1/2012
5/3/2012
8/2/2012
11/1/2012
3/7/2013
5/9/2013
8/1/2013
11/7/2013
3/6/2014
5/8/2014
7/31/2014
11/6/2014
3/5/2015
5/7/2015
7/30/2015
11/5/2015
3/3/2016
05/05/2016
08/04/2016
11/03/2016
02/28/2017
05/04/2017
