MDU
LATEST_ANNOUNCEMENT_DT
2/25/1992
4/28/1992
7/28/1992
10/27/1992
1/27/1993
4/27/1993
7/27/1993
10/26/1993
1/26/1994
4/26/1994
7/26/1994
10/25/1994
1/25/1995
4/25/1995
7/26/1995
10/24/1995
1/25/1996
4/23/1996
7/24/1996
10/23/1996
1/24/1997
4/22/1997
7/23/1997
10/23/1997
1/23/1998
4/16/1998
7/24/1998
11/12/1998
1/22/1999
4/27/1999
7/22/1999
10/25/1999
1/25/2000
4/25/2000
7/25/2000
10/25/2000
1/25/2001
4/24/2001
7/25/2001
10/24/2001
1/24/2002
4/23/2002
7/24/2002
10/22/2002
1/27/2003
4/22/2003
7/24/2003
10/24/2003
1/22/2004
4/20/2004
7/21/2004
10/19/2004
1/28/2005
4/19/2005
7/21/2005
10/20/2005
1/27/2006
4/24/2006
7/28/2006
10/23/2006
1/30/2007
5/8/2007
7/24/2007
10/23/2007
1/25/2008
5/2/2008
8/4/2008
10/31/2008
2/3/2009
4/30/2009
8/3/2009
10/30/2009
2/1/2010
4/30/2010
8/3/2010
10/27/2010
2/2/2011
5/2/2011
8/1/2011
10/31/2011
2/1/2012
4/30/2012
8/1/2012
10/31/2012
2/4/2013
4/30/2013
7/31/2013
10/31/2013
2/3/2014
4/30/2014
8/4/2014
11/3/2014
2/2/2015
5/4/2015
8/3/2015
11/02/2015
02/03/2016
05/03/2016
08/02/2016
11/02/2016
02/01/2017
05/02/2017
