COHR
LATEST_ANNOUNCEMENT_DT
4/22/1996
7/24/1996
10/30/1996
1/28/1997
4/21/1997
7/22/1997
10/31/1997
1/29/1998
4/21/1998
7/23/1998
10/28/1998
1/26/1999
4/27/1999
7/26/1999
11/2/1999
1/25/2000
4/25/2000
7/27/2000
11/1/2000
1/23/2001
4/24/2001
7/24/2001
10/30/2001
1/29/2002
4/23/2002
7/24/2002
11/6/2002
1/28/2003
4/22/2003
7/22/2003
11/11/2003
1/27/2004
4/27/2004
7/27/2004
11/3/2004
1/25/2005
4/26/2005
7/28/2005
11/2/2005
1/26/2006
4/26/2006
7/26/2006
12/11/2007
1/31/2007
4/26/2007
7/26/2007
11/7/2007
2/12/2008
4/24/2008
7/30/2008
11/5/2008
2/4/2009
5/7/2009
8/4/2009
11/5/2009
1/28/2010
4/29/2010
7/29/2010
11/4/2010
1/27/2011
5/3/2011
7/27/2011
11/2/2011
1/25/2012
4/26/2012
7/26/2012
10/31/2012
1/24/2013
4/24/2013
7/30/2013
10/30/2013
1/29/2014
4/30/2014
7/30/2014
11/4/2014
1/29/2015
4/29/2015
7/30/2015
11/4/2015
1/28/2016
04/28/2016
07/27/2016
11/02/2016
01/26/2017
04/27/2017
