DKS
LATEST_ANNOUNCEMENT_DT
7/17/2002
10/17/2002
11/25/2002
3/13/2003
5/22/2003
8/21/2003
11/18/2003
3/11/2004
5/18/2004
8/17/2004
11/18/2004
3/7/2005
5/17/2005
8/16/2005
11/15/2005
3/7/2006
5/16/2006
8/15/2006
11/13/2006
3/13/2007
5/23/2007
8/21/2007
11/20/2007
3/11/2008
5/22/2008
8/21/2008
11/20/2008
3/10/2009
5/19/2009
8/20/2009
11/19/2009
3/9/2010
5/18/2010
8/19/2010
11/16/2010
3/8/2011
5/17/2011
8/16/2011
11/15/2011
3/6/2012
5/15/2012
8/14/2012
11/13/2012
3/11/2013
5/21/2013
8/20/2013
11/19/2013
3/11/2014
5/20/2014
8/19/2014
11/18/2014
3/3/2015
5/19/2015
8/18/2015
11/17/2015
03/08/2016
05/19/2016
08/16/2016
11/15/2016
03/07/2017
