PTEC
LATEST_ANNOUNCEMENT_DT
4/19/1996
7/19/1996
10/29/1996
1/20/1997
4/17/1997
7/15/1997
10/23/1997
1/15/1998
4/14/1998
7/14/1998
10/22/1998
1/19/1999
4/15/1999
7/20/1999
10/21/1999
1/20/2000
4/20/2000
7/19/2000
10/19/2000
1/17/2001
4/18/2001
7/18/2001
10/18/2001
1/16/2002
4/17/2002
7/17/2002
10/17/2002
1/23/2003
4/17/2003
7/17/2003
10/24/2003
1/29/2004
4/20/2004
7/22/2004
10/28/2004
1/27/2005
4/27/2005
7/20/2005
11/17/2005
1/25/2007
5/11/2006
7/27/2006
12/12/2006
1/25/2007
4/30/2007
7/19/2007
10/23/2007
1/22/2008
4/22/2008
7/22/2008
10/23/2008
1/27/2009
4/30/2009
7/29/2009
10/22/2009
2/4/2010
5/4/2010
8/2/2010
