GOTTQ
LATEST_ANNOUNCEMENT_DT
5/17/1996
8/14/1996
11/13/1996
2/27/1997
5/14/1997
8/14/1997
11/12/1997
2/26/1998
5/18/1998
8/13/1998
11/12/1998
2/24/1999
5/13/1999
8/12/1999
11/11/1999
2/24/2000
5/11/2000
8/10/2000
11/9/2000
3/1/2001
5/17/2001
8/23/2001
11/29/2001
3/7/2002
5/28/2002
8/27/2002
11/26/2002
3/6/2003
5/27/2003
8/26/2003
11/25/2003
3/4/2004
5/25/2004
8/24/2004
11/23/2004
3/3/2005
6/1/2005
8/30/2005
11/29/2005
3/2/2006
5/25/2006
8/24/2006
11/28/2006
3/8/2007
6/6/2007
8/30/2007
12/6/2007
3/11/2008
5/29/2008
8/28/2008
12/4/2008
