IMULZ
LATEST_ANNOUNCEMENT_DT
4/18/1996
7/22/1996
10/29/1996
2/10/1997
4/29/1997
7/30/1997
10/28/1997
2/23/1998
4/21/1998
7/23/1998
10/26/1998
2/17/1999
3/31/1999
7/15/1999
9/30/1999
3/31/2000
9/30/2000
