WOR
LATEST_ANNOUNCEMENT_DT
6/11/1991
6/11/1992
9/12/1991
12/12/1991
3/13/1992
6/11/1992
9/11/1992
12/11/1992
3/11/1993
6/14/1993
9/13/1993
12/13/1993
3/14/1994
6/14/1994
9/14/1994
12/13/1994
3/14/1995
6/15/1995
9/12/1995
12/13/1995
3/14/1996
6/19/1996
9/16/1996
12/12/1996
3/13/1997
6/19/1997
9/16/1997
12/17/1997
3/16/1998
6/18/1998
9/17/1998
12/17/1998
3/15/1999
6/24/1999
9/22/1999
12/22/1999
3/22/2000
6/21/2000
9/20/2000
12/20/2000
3/21/2001
6/20/2001
9/19/2001
12/19/2001
3/20/2002
6/19/2002
9/18/2002
12/18/2002
3/19/2003
6/18/2003
9/17/2003
12/17/2003
3/17/2004
6/23/2004
9/22/2004
12/16/2004
3/16/2005
6/22/2005
9/21/2005
12/21/2005
3/22/2006
6/29/2006
9/26/2006
12/21/2006
3/29/2007
6/28/2007
9/25/2007
12/20/2007
3/20/2008
6/26/2008
9/23/2008
12/18/2008
4/1/2009
7/15/2009
9/29/2009
1/6/2010
4/1/2010
6/29/2010
9/29/2010
1/5/2011
3/31/2011
6/30/2011
9/28/2011
1/5/2012
3/29/2012
6/28/2012
9/26/2012
1/3/2013
3/21/2013
6/27/2013
9/25/2013
12/19/2013
3/27/2014
6/26/2014
9/24/2014
12/17/2014
3/25/2015
6/24/2015
9/23/2015
12/16/2015
03/23/2016
06/29/2016
09/28/2016
12/19/2016
03/29/2017
