SWD
LATEST_ANNOUNCEMENT_DT
6/10/1996
9/3/1997
12/2/1997
3/5/1997
6/5/1997
9/3/1997
12/2/1997
3/4/1998
6/17/1998
9/9/1998
12/14/1998
3/11/1999
7/8/1999
9/14/1999
12/14/1999
3/20/2000
