4623601Q
LATEST_ANNOUNCEMENT_DT
4/21/1997
7/23/1997
10/21/1997
2/12/1998
4/16/1998
7/16/1998
10/15/1998
2/9/1999
4/15/1999
7/20/1999
10/12/1999
1/27/2000
4/25/2000
7/25/2000
10/24/2000
1/25/2001
4/30/2001
7/25/2001
10/24/2001
1/30/2002
4/24/2002
7/24/2002
10/23/2002
1/29/2003
4/21/2003
7/23/2003
10/27/2003
1/26/2004
4/27/2004
7/29/2004
10/29/2004
