CRAY
LATEST_ANNOUNCEMENT_DT
5/14/1996
7/30/1996
11/15/1996
2/27/1997
5/8/1997
8/12/1997
10/22/1997
1/28/1998
4/22/1998
7/22/1998
10/27/1998
2/3/1999
4/28/1999
7/29/1999
10/28/1999
3/28/2000
5/12/2000
8/9/2000
10/31/2000
3/5/2001
5/8/2001
8/2/2001
11/1/2001
2/12/2002
5/1/2002
7/30/2002
10/23/2002
1/31/2003
4/30/2003
7/31/2003
10/30/2003
1/29/2004
4/29/2004
7/26/2004
11/4/2004
2/3/2005
5/9/2005
8/8/2005
11/9/2005
4/21/2006
5/5/2006
8/7/2006
11/7/2006
2/15/2007
5/3/2007
8/2/2007
11/1/2007
2/14/2008
4/29/2008
7/31/2008
11/3/2008
2/10/2009
4/29/2009
8/4/2009
10/29/2009
2/16/2010
5/4/2010
8/5/2010
11/8/2010
2/16/2011
5/9/2011
7/28/2011
11/1/2011
2/27/2012
4/26/2012
7/31/2012
11/9/2012
2/14/2013
4/30/2013
7/31/2013
11/11/2013
2/13/2014
4/29/2014
7/29/2014
10/28/2014
2/11/2015
5/5/2015
7/30/2015
10/29/2015
2/11/2016
05/03/2016
08/02/2016
11/07/2016
02/08/2017
05/02/2017
