NEU
LATEST_ANNOUNCEMENT_DT
4/25/1996
7/24/1996
10/18/1996
1/31/1997
4/23/1997
7/22/1997
10/22/1997
1/26/1998
4/21/1998
7/27/1998
10/21/1998
2/2/1999
4/21/1999
7/27/1999
10/21/1999
2/3/2000
4/24/2000
7/27/2000
10/26/2000
2/8/2001
5/2/2001
7/30/2001
10/26/2001
1/31/2002
5/2/2002
8/2/2002
10/29/2002
2/7/2003
5/6/2003
8/5/2003
10/29/2003
2/2/2004
4/29/2004
7/29/2004
11/1/2004
2/3/2005
5/4/2005
8/1/2005
10/26/2005
2/1/2006
4/25/2006
7/26/2006
10/25/2006
2/2/2007
4/24/2007
7/27/2007
10/30/2007
1/31/2008
4/23/2008
7/31/2008
10/30/2008
2/4/2009
4/22/2009
7/28/2009
10/22/2009
1/28/2010
4/21/2010
8/3/2010
10/28/2010
2/3/2011
4/20/2011
8/3/2011
11/1/2011
2/1/2012
4/25/2012
7/30/2012
10/25/2012
1/28/2013
4/24/2013
7/30/2013
10/28/2013
1/30/2014
4/23/2014
7/29/2014
10/29/2014
1/29/2015
4/22/2015
7/28/2015
10/26/2015
2/1/2016
04/27/2016
07/27/2016
10/26/2016
01/31/2017
04/26/2017
