IFCIQ
LATEST_ANNOUNCEMENT_DT
4/17/1996
8/23/1996
11/15/1996
4/9/1997
4/30/1997
8/11/1997
11/12/1997
3/31/1998
5/14/1998
8/17/1998
11/10/1998
3/19/1999
5/3/1999
8/2/1999
11/3/1999
2/29/2000
4/25/2000
7/25/2000
10/26/2000
2/27/2001
4/26/2001
7/30/2001
11/20/2001
