SNH
LATEST_ANNOUNCEMENT_DT
11/10/1999
3/23/2000
5/8/2000
8/9/2000
11/14/2000
3/22/2001
5/14/2001
8/8/2001
11/2/2001
3/7/2002
4/30/2002
7/31/2002
11/7/2002
2/12/2003
4/29/2003
7/30/2003
10/30/2003
2/11/2004
5/3/2004
7/29/2004
10/27/2004
2/10/2005
5/3/2005
8/2/2005
10/31/2005
2/7/2006
5/2/2006
8/3/2006
11/9/2006
2/28/2007
5/1/2007
7/30/2007
11/1/2007
2/29/2008
5/7/2008
8/7/2008
11/6/2008
2/26/2009
5/6/2009
8/7/2009
11/3/2009
2/18/2010
5/4/2010
8/2/2010
11/1/2010
2/23/2011
4/28/2011
7/28/2011
10/27/2011
2/16/2012
4/30/2012
8/1/2012
10/29/2012
2/15/2013
4/29/2013
7/30/2013
10/29/2013
2/26/2014
5/2/2014
8/4/2014
11/3/2014
2/26/2015
5/6/2015
8/6/2015
11/4/2015
2/23/2016
05/05/2016
08/05/2016
11/04/2016
02/27/2017
05/04/2017
