RAH
LATEST_ANNOUNCEMENT_DT
5/2/1997
7/31/1997
11/6/1997
1/29/1998
4/28/1998
7/29/1998
11/5/1998
1/28/1999
4/29/1999
7/27/1999
11/2/1999
1/28/2000
4/27/2000
7/26/2000
11/2/2000
1/30/2001
5/1/2001
7/31/2001
11/1/2001
1/31/2002
4/30/2002
7/30/2002
10/31/2002
1/28/2003
4/29/2003
7/29/2003
11/14/2003
1/29/2004
4/29/2004
7/29/2004
11/3/2004
2/1/2005
4/28/2005
7/27/2005
11/3/2005
1/31/2006
5/9/2006
8/8/2006
11/8/2006
2/6/2007
5/9/2007
8/7/2007
11/15/2007
2/5/2008
5/9/2008
7/28/2008
11/12/2008
2/5/2009
5/7/2009
8/6/2009
11/10/2009
2/4/2010
5/6/2010
7/19/2010
11/9/2010
2/8/2011
5/1/2011
8/9/2011
11/29/2011
2/7/2012
5/22/2012
8/8/2012
11/27/2012
