MME
LATEST_ANNOUNCEMENT_DT
5/8/1996
8/13/1996
11/6/1996
2/27/1997
5/14/1997
8/13/1997
11/12/1997
2/26/1998
5/13/1998
8/12/1998
11/11/1998
5/12/1999
8/11/1999
11/10/1999
12/31/1999
5/10/2000
8/9/2000
11/8/2000
2/14/2001
5/9/2001
8/8/2001
11/7/2001
2/13/2002
5/8/2002
8/7/2002
11/6/2002
2/12/2003
5/7/2003
8/7/2003
11/5/2003
