SUPX
LATEST_ANNOUNCEMENT_DT
4/29/1996
7/15/1996
10/14/1996
1/13/1997
4/28/1997
7/14/1997
10/13/1997
1/12/1998
4/27/1998
7/13/1998
10/12/1998
1/11/1999
4/26/1999
7/12/1999
10/11/1999
1/10/2000
5/1/2000
7/17/2000
10/16/2000
1/16/2001
4/30/2001
7/16/2001
10/15/2001
1/14/2002
4/29/2002
7/15/2002
10/14/2002
1/13/2003
4/28/2003
7/14/2003
11/7/2003
1/12/2004
5/3/2004
7/19/2004
10/18/2004
1/14/2005
5/5/2005
7/21/2005
10/20/2005
1/19/2006
5/18/2006
7/25/2006
10/24/2006
1/23/2007
5/8/2007
7/24/2007
10/23/2007
1/22/2008
5/7/2008
7/22/2008
10/21/2008
1/20/2009
5/6/2009
7/21/2009
10/20/2009
1/19/2010
5/12/2010
7/27/2010
10/26/2010
1/25/2011
5/11/2011
7/26/2011
10/25/2011
1/24/2012
5/9/2012
7/24/2012
10/22/2012
1/22/2013
5/8/2013
7/23/2013
10/22/2013
1/21/2014
