TCT
LATEST_ANNOUNCEMENT_DT
4/25/1996
7/25/1996
10/24/1996
1/23/1997
5/1/1997
7/24/1997
10/17/1997
1/29/1998
4/30/1998
7/30/1998
11/4/1998
2/11/1999
4/30/1999
8/5/1999
11/4/1999
2/3/2000
5/5/2000
8/1/2000
11/3/2000
2/1/2001
5/4/2001
8/3/2001
11/2/2001
1/31/2002
5/3/2002
8/1/2002
10/31/2002
2/6/2003
5/8/2003
7/22/2003
11/6/2003
2/19/2004
5/6/2004
8/6/2004
11/8/2004
2/24/2005
5/5/2005
8/2/2005
11/2/2005
3/16/2006
