PES
LATEST_ANNOUNCEMENT_DT
8/13/1997
11/5/1997
2/12/1998
6/26/1998
8/14/1998
11/17/1998
2/16/1999
6/25/1999
8/13/1999
11/17/1999
2/18/2000
6/29/2000
8/14/2000
11/22/2000
2/15/2001
6/21/2001
8/8/2001
11/1/2001
2/7/2002
6/11/2002
8/8/2002
11/7/2002
2/6/2003
6/3/2003
8/7/2003
11/6/2003
2/5/2004
6/23/2004
8/4/2004
11/4/2004
2/7/2005
5/26/2005
8/4/2005
11/3/2005
2/2/2006
5/25/2006
8/3/2006
11/2/2006
2/1/2007
5/17/2007
8/5/2008
8/7/2008
11/6/2008
2/26/2009
5/7/2009
8/6/2009
11/5/2009
2/16/2010
5/6/2010
8/5/2010
11/4/2010
2/17/2011
5/5/2011
8/4/2011
11/3/2011
2/21/2012
5/8/2012
8/7/2012
11/1/2012
2/13/2013
4/30/2013
7/30/2013
10/30/2013
2/13/2014
4/29/2014
7/31/2014
10/28/2014
2/17/2015
4/30/2015
7/30/2015
10/29/2015
2/17/2016
04/29/2016
07/28/2016
11/01/2016
02/17/2017
05/05/2017
