BANC
LATEST_ANNOUNCEMENT_DT
8/14/2002
11/12/2002
2/26/2003
4/24/2003
8/1/2003
11/3/2003
2/3/2004
4/23/2004
7/30/2004
11/9/2004
3/10/2005
4/20/2005
8/2/2005
11/3/2005
3/9/2006
5/10/2006
8/2/2006
11/7/2006
2/28/2007
5/4/2007
8/3/2007
11/2/2007
3/10/2008
5/6/2008
8/8/2008
11/4/2008
3/6/2009
5/15/2009
7/27/2009
11/6/2009
3/10/2010
5/10/2010
8/16/2010
10/15/2010
2/8/2011
4/27/2011
7/29/2011
11/10/2011
3/15/2012
4/30/2012
8/6/2012
11/8/2012
3/1/2013
5/8/2013
8/7/2013
11/8/2013
3/13/2014
5/9/2014
7/31/2014
10/30/2014
3/5/2015
4/29/2015
7/29/2015
10/29/2015
1/28/2016
04/21/2016
07/21/2016
10/20/2016
01/26/2017
04/20/2017
