SHU
LATEST_ANNOUNCEMENT_DT
5/2/1996
7/30/1996
11/1/1996
1/31/1997
4/29/1997
7/30/1997
10/29/1997
1/30/1998
4/29/1998
7/29/1998
10/28/1998
1/29/1999
4/29/1999
7/29/1999
10/26/1999
1/28/2000
5/8/2000
8/9/2000
11/9/2000
2/9/2001
5/9/2001
8/7/2001
12/4/2001
2/8/2002
5/8/2002
8/7/2002
11/4/2002
2/6/2003
5/21/2003
8/7/2003
11/10/2003
5/17/2004
7/12/2004
8/13/2004
11/9/2004
3/29/2005
5/10/2005
8/9/2005
11/8/2005
3/20/2006
5/10/2006
8/2/2006
