AAP
LATEST_ANNOUNCEMENT_DT
5/23/2001
8/14/2001
11/18/2001
3/28/2002
5/23/2002
8/14/2002
11/18/2002
2/12/2003
5/14/2003
8/6/2003
10/29/2003
2/18/2004
5/19/2004
8/11/2004
11/3/2004
2/16/2005
5/18/2005
8/10/2005
11/3/2005
2/16/2006
5/18/2006
8/10/2006
11/2/2006
2/15/2007
5/16/2007
8/8/2007
10/31/2007
2/13/2008
5/15/2008
8/6/2008
10/29/2008
2/18/2009
5/20/2009
8/12/2009
11/11/2009
2/17/2010
5/19/2010
8/11/2010
11/10/2010
2/9/2011
5/18/2011
8/10/2011
11/9/2011
2/16/2012
5/17/2012
8/9/2012
11/8/2012
2/7/2013
5/23/2013
8/8/2013
10/31/2013
2/6/2014
5/15/2014
8/14/2014
11/6/2014
2/12/2015
5/21/2015
8/13/2015
11/12/2015
02/11/2016
05/19/2016
08/16/2016
11/14/2016
02/21/2017
05/18/2017
