304024Q
LATEST_ANNOUNCEMENT_DT
4/17/1996
7/17/1996
10/15/1996
1/28/1997
4/15/1997
7/15/1997
10/14/1997
2/3/1998
4/20/1998
7/21/1998
10/20/1998
2/2/1999
4/19/1999
7/20/1999
10/19/1999
2/1/2000
4/19/2000
7/20/2000
10/18/2000
2/1/2001
5/15/2001
7/17/2001
