EPIQ
LATEST_ANNOUNCEMENT_DT
3/12/1997
4/22/1997
7/22/1997
10/21/1997
2/17/1998
4/21/1998
7/21/1998
10/19/1998
2/23/1999
4/20/1999
7/27/1999
10/28/1999
3/27/2000
5/2/2000
7/25/2000
10/24/2000
2/27/2001
4/25/2001
7/23/2001
10/25/2001
2/26/2002
4/24/2002
7/23/2002
10/22/2002
2/19/2003
4/28/2003
7/28/2003
10/20/2003
2/24/2004
4/27/2004
7/27/2004
10/26/2004
2/7/2005
4/26/2005
7/26/2005
10/25/2005
2/21/2006
4/26/2006
7/25/2006
11/14/2006
2/20/2007
4/24/2007
7/24/2007
10/23/2007
2/19/2008
4/23/2008
7/22/2008
10/27/2008
2/24/2009
4/22/2009
7/28/2009
10/26/2009
2/23/2010
4/27/2010
7/27/2010
10/26/2010
2/22/2011
4/28/2011
7/28/2011
10/27/2011
2/29/2012
4/26/2012
7/31/2012
11/1/2012
3/4/2013
4/30/2013
7/30/2013
10/28/2013
2/25/2014
4/29/2014
7/31/2014
10/28/2014
3/2/2015
4/28/2015
8/3/2015
11/3/2015
3/1/2016
05/03/2016
08/09/2016
11/01/2016
