MEAD
LATEST_ANNOUNCEMENT_DT
5/8/1997
6/30/1997
9/25/1997
12/18/1997
4/2/1998
6/18/1998
9/17/1998
12/17/1998
4/22/1999
6/17/1999
9/16/1999
12/16/1999
4/19/2000
6/21/2000
9/21/2000
12/19/2000
4/19/2001
6/14/2001
9/20/2001
12/20/2001
4/18/2002
6/20/2002
9/19/2002
12/19/2002
4/22/2003
6/16/2003
9/18/2003
12/18/2003
4/22/2004
6/17/2004
9/13/2004
12/16/2004
4/27/2005
6/23/2005
9/27/2005
12/22/2005
11/28/2006
11/29/2006
12/11/2006
1/4/2007
5/24/2007
7/10/2007
10/11/2007
1/14/2008
6/13/2008
7/17/2008
10/20/2008
1/15/2009
6/15/2009
7/15/2009
10/13/2009
1/8/2010
5/21/2010
7/15/2010
10/14/2010
1/10/2011
5/31/2011
7/15/2011
10/14/2011
1/13/2012
5/29/2012
7/16/2012
10/12/2012
1/14/2013
5/30/2013
7/16/2013
