BMR
LATEST_ANNOUNCEMENT_DT
11/13/2004
5/12/2005
8/11/2005
11/9/2005
3/1/2006
5/3/2006
8/2/2006
11/6/2006
2/26/2007
5/2/2007
8/6/2007
11/8/2007
2/28/2008
5/9/2008
7/30/2008
10/29/2008
2/12/2009
4/30/2009
7/29/2009
10/28/2009
2/10/2010
5/3/2010
7/28/2010
11/3/2010
2/7/2011
5/4/2011
8/3/2011
11/1/2011
2/8/2012
5/1/2012
8/1/2012
11/1/2012
2/5/2013
5/1/2013
8/6/2013
11/5/2013
2/5/2014
4/30/2014
8/5/2014
10/29/2014
2/4/2015
4/28/2015
7/28/2015
11/5/2015
