HSII
LATEST_ANNOUNCEMENT_DT
5/11/1999
8/5/1999
2/15/2000
5/1/2000
10/30/2000
2/13/2001
4/25/2001
8/1/2001
11/5/2001
2/13/2002
5/1/2002
7/31/2002
10/30/2002
2/20/2003
4/30/2003
7/31/2003
10/30/2003
2/20/2004
4/30/2004
7/30/2004
10/28/2004
2/25/2005
4/28/2005
8/5/2005
10/28/2005
3/1/2006
5/2/2006
8/1/2006
10/31/2006
2/27/2007
5/2/2007
7/31/2007
10/30/2007
2/26/2008
4/29/2008
8/6/2008
10/28/2008
2/24/2009
4/28/2009
7/28/2009
10/27/2009
2/23/2010
4/27/2010
7/27/2010
11/2/2010
2/22/2011
4/26/2011
7/26/2011
10/25/2011
2/28/2012
4/24/2012
7/31/2012
10/31/2012
2/26/2013
5/9/2013
7/30/2013
10/29/2013
2/25/2014
4/29/2014
7/29/2014
10/28/2014
2/24/2015
4/28/2015
7/28/2015
10/27/2015
2/23/2016
04/26/2016
07/25/2016
10/24/2016
02/27/2017
04/24/2017
