PSUN
LATEST_ANNOUNCEMENT_DT
5/16/1996
8/15/1996
11/13/1996
3/4/1997
5/14/1997
8/13/1997
11/12/1997
3/2/1998
5/12/1998
8/11/1998
11/10/1998
3/2/1999
5/11/1999
8/9/1999
11/8/1999
2/29/2000
5/8/2000
8/7/2000
12/13/2000
3/6/2001
5/14/2001
8/13/2001
11/12/2001
3/4/2002
5/13/2002
8/12/2002
11/11/2002
3/3/2003
5/12/2003
8/11/2003
11/10/2003
3/2/2004
5/10/2004
8/9/2004
11/8/2004
3/1/2005
5/12/2005
8/11/2005
11/10/2005
2/28/2006
5/11/2006
8/10/2006
11/9/2006
3/15/2007
5/21/2007
8/23/2007
11/20/2007
3/13/2008
5/22/2008
8/21/2008
11/18/2008
3/12/2009
5/21/2009
8/20/2009
11/16/2009
3/11/2010
5/20/2010
8/24/2010
11/22/2010
3/15/2011
5/24/2011
8/23/2011
12/7/2011
3/13/2012
5/17/2012
8/22/2012
11/29/2012
3/20/2013
5/22/2013
8/29/2013
12/5/2013
3/18/2014
5/29/2014
8/28/2014
12/3/2014
3/25/2015
5/28/2015
9/8/2015
12/2/2015
4/7/2016
