RSTI
LATEST_ANNOUNCEMENT_DT
11/12/1996
2/11/1997
5/13/1997
8/12/1997
12/29/1997
2/10/1998
5/12/1998
8/11/1998
11/10/1998
2/9/1999
5/11/1999
8/10/1999
11/9/1999
2/8/2000
5/9/2000
8/8/2000
11/7/2000
2/6/2001
5/8/2001
8/7/2001
11/6/2001
2/5/2002
5/7/2002
8/6/2002
11/7/2002
2/6/2003
5/8/2003
8/6/2003
11/6/2003
2/12/2004
5/12/2004
8/11/2004
11/10/2004
2/7/2005
5/9/2005
8/8/2005
11/10/2005
2/2/2006
5/4/2006
8/3/2006
11/9/2006
2/1/2007
5/3/2007
8/2/2007
11/8/2007
1/31/2008
4/30/2008
8/6/2008
11/6/2008
2/5/2009
5/7/2009
8/6/2009
11/5/2009
2/4/2010
5/6/2010
8/5/2010
11/5/2010
2/3/2011
5/5/2011
8/4/2011
11/4/2011
2/2/2012
5/3/2012
8/2/2012
11/8/2012
2/7/2013
5/2/2013
8/1/2013
11/7/2013
2/6/2014
5/8/2014
8/7/2014
11/13/2014
2/5/2015
5/7/2015
8/6/2015
11/12/2015
2/4/2016
05/09/2016
08/09/2016
11/10/2016
