GCCXQ
LATEST_ANNOUNCEMENT_DT
5/22/1996
8/21/1996
12/9/1996
2/20/1997
5/20/1997
8/19/1997
12/10/1997
2/19/1998
5/19/1998
8/20/1998
12/9/1998
2/17/1999
5/20/1999
8/19/1999
12/9/1999
2/17/2000
5/25/2000
8/21/2000
1/30/2001
3/19/2001
6/14/2001
9/13/2001
1/30/2002
3/22/2002
