NFG
LATEST_ANNOUNCEMENT_DT
1/28/1993
4/28/1993
7/27/1993
11/1/1993
1/27/1994
4/28/1994
7/28/1994
11/1/1994
1/26/1995
4/27/1995
7/26/1995
11/1/1995
2/1/1996
4/29/1996
7/24/1996
10/31/1996
1/30/1997
4/30/1997
7/30/1997
10/30/1997
1/29/1998
4/29/1998
7/29/1998
10/29/1998
1/27/1999
4/28/1999
7/28/1999
10/27/1999
1/26/2000
4/19/2000
7/27/2000
10/25/2000
1/26/2001
4/25/2001
7/25/2001
10/25/2001
1/24/2002
4/25/2002
7/25/2002
10/24/2002
1/27/2003
4/24/2003
7/30/2003
10/23/2003
1/29/2004
4/27/2004
7/29/2004
10/28/2004
1/27/2005
4/26/2005
7/28/2005
10/27/2005
2/8/2006
5/4/2006
8/3/2006
11/9/2006
2/5/2007
5/7/2007
8/2/2007
11/9/2007
2/7/2008
5/1/2008
8/7/2008
11/6/2008
2/5/2009
4/30/2009
8/6/2009
11/5/2009
2/4/2010
5/6/2010
8/5/2010
11/4/2010
2/3/2011
5/5/2011
8/4/2011
11/3/2011
2/2/2012
5/3/2012
8/2/2012
11/1/2012
2/7/2013
5/2/2013
8/8/2013
11/7/2013
2/6/2014
5/8/2014
8/7/2014
11/6/2014
1/29/2015
4/30/2015
8/6/2015
11/05/2015
02/04/2016
04/28/2016
08/04/2016
11/03/2016
02/02/2017
04/27/2017
