CPT
LATEST_ANNOUNCEMENT_DT
7/26/1995
10/24/1996
2/7/1996
4/25/1996
7/31/1996
10/31/1996
2/5/1997
4/29/1997
8/7/1997
10/29/1997
1/28/1998
4/29/1998
7/29/1998
10/27/1998
1/27/1999
4/15/1999
7/28/1999
11/2/1999
1/31/2000
4/26/2000
7/26/2000
10/26/2000
2/1/2001
4/30/2001
7/26/2001
11/8/2001
1/29/2002
5/2/2002
8/1/2002
10/31/2002
2/3/2003
5/1/2003
7/29/2003
11/6/2003
2/5/2004
5/6/2004
8/5/2004
11/4/2004
2/1/2005
5/5/2005
8/1/2005
10/28/2005
2/1/2006
5/4/2006
8/3/2006
11/2/2006
2/9/2007
4/27/2007
8/2/2007
11/1/2007
2/7/2008
5/2/2008
7/31/2008
10/31/2008
2/9/2009
4/30/2009
7/30/2009
10/29/2009
2/8/2010
5/6/2010
7/29/2010
11/4/2010
2/3/2011
4/28/2011
7/28/2011
11/3/2011
2/2/2012
4/26/2012
8/2/2012
11/1/2012
1/31/2013
5/2/2013
7/25/2013
10/31/2013
1/30/2014
5/6/2014
7/31/2014
10/30/2014
1/28/2015
4/30/2015
7/30/2015
10/29/2015
01/28/2016
04/28/2016
07/28/2016
10/27/2016
02/07/2017
04/27/2017
