FDS
LATEST_ANNOUNCEMENT_DT
7/29/1996
10/9/1996
1/8/1997
3/20/1997
6/11/1997
9/15/1997
12/16/1997
3/18/1998
6/10/1998
9/24/1998
12/15/1998
3/16/1999
6/15/1999
9/14/1999
12/14/1999
3/14/2000
6/13/2000
9/12/2000
12/12/2000
3/13/2001
6/12/2001
9/19/2001
12/11/2001
3/14/2002
6/11/2002
9/17/2002
12/12/2002
3/19/2003
6/17/2003
9/16/2003
12/16/2003
3/16/2004
6/15/2004
9/21/2004
12/21/2004
3/22/2005
6/21/2005
9/20/2005
12/20/2005
3/21/2006
6/20/2006
9/19/2006
12/19/2006
3/20/2007
6/19/2007
9/25/2007
12/18/2007
3/18/2008
6/17/2008
9/23/2008
12/16/2008
3/17/2009
6/16/2009
9/22/2009
12/15/2009
3/16/2010
6/15/2010
9/21/2010
12/14/2010
3/15/2011
6/14/2011
9/20/2011
12/13/2011
3/13/2012
6/12/2012
9/25/2012
12/18/2012
3/19/2013
6/18/2013
9/17/2013
12/17/2013
3/18/2014
6/17/2014
9/16/2014
12/16/2014
3/17/2015
6/16/2015
9/22/2015
12/15/2015
3/15/2016
06/28/2016
09/27/2016
12/20/2016
03/28/2017
