MNT
LATEST_ANNOUNCEMENT_DT
5/13/1996
7/18/1996
10/17/1996
1/16/1997
5/8/1997
7/21/1997
10/21/1997
1/20/1998
5/5/1998
7/22/1998
10/19/1998
1/21/1999
5/11/1999
7/27/1999
10/21/1999
1/24/2000
5/9/2000
7/24/2000
10/23/2000
1/23/2001
5/15/2001
7/31/2001
10/24/2001
1/29/2002
5/14/2002
7/25/2002
10/24/2002
1/29/2003
5/13/2003
7/30/2003
10/28/2003
1/27/2004
5/18/2004
8/2/2004
11/1/2004
2/2/2005
5/18/2005
8/2/2005
10/31/2005
2/6/2006
5/22/2006
8/7/2006
11/6/2006
2/5/2007
5/16/2007
8/6/2007
11/7/2007
1/31/2008
5/15/2008
7/31/2008
11/5/2008
