KRG
LATEST_ANNOUNCEMENT_DT
6/7/2004
9/20/2004
11/5/2004
2/17/2005
5/5/2005
8/5/2005
11/7/2005
2/9/2006
5/8/2006
8/7/2006
11/6/2006
2/20/2007
5/9/2007
8/8/2007
11/7/2007
2/7/2008
5/8/2008
8/7/2008
11/5/2008
2/18/2009
5/7/2009
8/4/2009
11/5/2009
2/17/2010
5/5/2010
8/4/2010
11/3/2010
2/16/2011
5/5/2011
8/4/2011
11/2/2011
2/8/2012
5/3/2012
8/2/2012
11/1/2012
2/7/2013
5/2/2013
8/1/2013
10/31/2013
2/10/2014
5/1/2014
7/31/2014
11/3/2014
2/5/2015
4/30/2015
7/29/2015
10/29/2015
2/4/2016
04/28/2016
07/28/2016
10/27/2016
02/02/2017
04/27/2017
