HAUSQ
LATEST_ANNOUNCEMENT_DT
6/23/1996
9/17/1996
12/10/1996
3/11/1997
6/23/1997
8/27/1997
11/18/1997
2/17/1998
6/25/1998
9/3/1998
11/17/1998
2/23/1999
6/14/1999
9/9/1999
12/2/1999
3/16/2000
7/14/2000
8/14/2000
11/13/2000
2/14/2001
7/16/2001
8/13/2001
11/19/2001
2/14/2002
7/1/2002
8/14/2002
11/14/2002
2/14/2003
