BKUNQ
LATEST_ANNOUNCEMENT_DT
5/1/1996
7/23/1996
11/8/1996
2/3/1997
4/23/1997
7/21/1997
11/12/1997
2/2/1998
4/24/1998
7/24/1998
11/9/1998
1/28/1999
4/19/1999
7/21/1999
10/25/1999
1/26/2000
4/24/2000
7/27/2000
10/30/2000
1/29/2001
4/23/2001
7/26/2001
10/29/2001
1/23/2002
4/23/2002
7/24/2002
10/28/2002
1/27/2003
4/23/2003
7/22/2003
10/27/2003
1/27/2004
4/27/2004
7/21/2004
10/26/2004
1/19/2005
4/18/2005
7/15/2005
10/25/2005
1/18/2006
4/18/2006
7/14/2006
10/24/2006
1/22/2007
4/18/2007
7/26/2007
10/23/2007
1/24/2008
5/12/2008
8/8/2008
