ENS
LATEST_ANNOUNCEMENT_DT
9/9/2004
11/16/2004
2/16/2005
6/1/2005
8/17/2005
11/15/2005
2/15/2006
6/14/2006
8/8/2006
11/8/2006
2/7/2007
6/13/2007
8/9/2007
11/7/2007
2/6/2008
5/19/2008
8/5/2008
11/5/2008
2/4/2009
6/1/2009
8/5/2009
10/29/2009
2/3/2010
5/12/2010
8/11/2010
11/9/2010
2/9/2011
5/11/2011
8/10/2011
11/9/2011
2/8/2012
5/25/2012
8/8/2012
11/5/2012
2/6/2013
5/28/2013
8/7/2013
11/6/2013
2/5/2014
5/28/2014
8/6/2014
11/5/2014
2/4/2015
5/27/2015
8/5/2015
11/2/2015
1/28/2016
05/05/2016
08/10/2016
11/09/2016
02/08/2017
05/04/2017
