MOG_A
LATEST_ANNOUNCEMENT_DT
4/29/1996
7/29/1996
11/18/1996
1/29/1997
4/29/1997
7/29/1997
11/10/1997
2/3/1998
4/28/1998
7/29/1998
11/10/1998
1/29/1999
4/28/1999
7/29/1999
11/9/1999
1/27/2000
4/24/2000
8/1/2000
11/9/2000
1/31/2001
4/25/2001
7/31/2001
11/7/2001
1/29/2002
4/30/2002
7/31/2002
11/12/2002
1/29/2003
4/29/2003
8/13/2003
11/7/2003
2/2/2004
4/29/2004
7/28/2004
11/5/2004
1/24/2005
4/22/2005
7/27/2005
11/4/2005
1/27/2006
4/28/2006
7/28/2006
11/7/2006
1/29/2007
4/27/2007
7/27/2007
11/1/2007
1/25/2008
4/29/2008
7/25/2008
10/30/2008
1/26/2009
4/24/2009
7/24/2009
11/5/2009
2/1/2010
4/30/2010
7/30/2010
11/4/2010
1/31/2011
5/2/2011
7/29/2011
11/4/2011
1/27/2012
4/27/2012
7/27/2012
11/2/2012
1/25/2013
4/26/2013
7/26/2013
11/1/2013
1/24/2014
4/25/2014
7/25/2014
10/31/2014
1/30/2015
5/1/2015
7/31/2015
11/6/2015
1/29/2016
