MSM
LATEST_ANNOUNCEMENT_DT
1/23/1996
4/16/1996
7/15/1996
11/6/1996
1/13/1997
4/14/1997
7/14/1997
11/10/1997
1/12/1998
4/6/1998
7/7/1998
11/9/1998
1/11/1999
3/30/1999
7/6/1999
11/4/1999
1/10/2000
4/10/2000
6/28/2000
11/9/2000
1/9/2001
4/5/2001
6/29/2001
11/6/2001
1/15/2002
4/9/2002
7/11/2002
11/19/2002
1/9/2003
4/3/2003
7/15/2003
11/4/2003
1/8/2004
4/1/2004
7/7/2004
10/28/2004
1/6/2005
4/5/2005
6/30/2005
10/27/2005
1/5/2006
3/30/2006
6/29/2006
10/19/2006
1/4/2007
4/4/2007
6/28/2007
10/24/2007
1/10/2008
4/8/2008
7/1/2008
10/21/2008
1/8/2009
4/2/2009
7/2/2009
10/21/2009
1/7/2010
4/7/2010
7/1/2010
10/21/2010
1/6/2011
4/6/2011
6/30/2011
10/26/2011
1/5/2012
4/4/2012
6/28/2012
10/31/2012
1/10/2013
4/10/2013
7/10/2013
10/30/2013
1/8/2014
4/9/2014
7/9/2014
10/28/2014
1/7/2015
4/8/2015
7/7/2015
10/27/2015
01/06/2016
04/06/2016
07/06/2016
11/01/2016
01/11/2017
04/05/2017
