CHHP
LATEST_ANNOUNCEMENT_DT
6/5/1996
8/29/1996
11/26/1996
3/10/1997
5/28/1997
8/28/1997
11/25/1997
3/6/1998
5/28/1998
9/10/1998
11/24/1998
3/8/1999
5/27/1999
8/26/1999
11/22/1999
3/6/2000
5/22/2000
8/22/2000
11/21/2000
3/6/2001
5/21/2001
8/21/2001
11/20/2001
3/5/2002
5/22/2002
8/21/2002
11/20/2002
3/6/2003
5/27/2003
8/28/2003
11/20/2003
3/15/2004
5/24/2004
8/26/2004
12/10/2004
5/3/2005
6/7/2005
9/8/2005
12/12/2005
4/10/2006
6/5/2006
9/11/2006
12/7/2006
4/16/2007
6/8/2007
9/7/2007
12/6/2007
4/10/2008
6/5/2008
9/8/2008
12/8/2008
4/16/2009
6/4/2009
9/8/2009
12/8/2009
4/19/2010
6/7/2010
9/14/2010
12/10/2010
5/2/2011
6/8/2011
9/7/2011
12/15/2011
