WRI
LATEST_ANNOUNCEMENT_DT
10/23/1995
2/22/1996
5/3/1996
7/30/1996
3/3/1997
4/29/1997
7/25/1997
10/20/1997
2/20/1998
4/28/1998
7/28/1998
10/27/1998
2/23/1999
4/29/1999
7/27/1999
10/25/1999
2/22/2000
4/25/2000
7/24/2000
10/24/2000
2/23/2001
4/19/2001
7/31/2001
10/25/2001
2/26/2002
4/29/2002
7/29/2002
10/28/2002
2/24/2003
4/28/2003
8/11/2003
10/27/2003
2/23/2004
4/26/2004
7/26/2004
10/25/2004
2/24/2005
4/28/2005
7/27/2005
10/25/2005
2/23/2006
5/1/2006
7/26/2006
10/30/2006
3/1/2007
5/3/2007
7/26/2007
11/1/2007
2/26/2008
5/7/2008
7/31/2008
10/30/2008
2/20/2009
4/27/2009
7/30/2009
10/26/2009
2/24/2010
5/6/2010
8/5/2010
11/1/2010
2/28/2011
5/4/2011
8/2/2011
10/31/2011
2/29/2012
5/8/2012
8/7/2012
10/29/2012
2/14/2013
4/30/2013
7/31/2013
10/31/2013
2/13/2014
4/24/2014
7/24/2014
10/23/2014
2/17/2015
4/28/2015
7/28/2015
10/29/2015
02/16/2016
04/21/2016
07/28/2016
10/27/2016
02/21/2017
04/20/2017
