NNN
LATEST_ANNOUNCEMENT_DT
5/2/1996
8/7/1996
2/3/1997
5/6/1997
8/6/1997
11/4/1997
2/3/1998
5/12/1998
8/3/1998
11/10/1998
2/4/1999
5/11/1999
8/16/1999
11/4/1999
1/31/2000
5/8/2000
8/10/2000
11/6/2000
2/8/2001
4/30/2001
8/9/2001
11/5/2001
1/30/2002
5/8/2002
8/1/2002
11/4/2002
2/3/2003
5/6/2003
7/29/2003
11/4/2003
1/21/2004
5/6/2004
7/28/2004
11/1/2004
2/2/2005
5/3/2005
7/29/2005
11/1/2005
2/3/2006
5/3/2006
8/1/2006
11/6/2006
1/31/2007
5/2/2007
7/30/2007
11/5/2007
2/4/2008
5/1/2008
7/31/2008
11/4/2008
2/3/2009
5/5/2009
8/3/2009
11/6/2009
2/5/2010
5/4/2010
8/4/2010
11/4/2010
2/17/2011
5/5/2011
8/4/2011
11/7/2011
2/6/2012
5/3/2012
8/3/2012
11/5/2012
2/7/2013
5/2/2013
8/1/2013
11/5/2013
2/11/2014
5/1/2014
8/5/2014
11/4/2014
2/12/2015
5/5/2015
7/30/2015
11/3/2015
2/11/2016
05/02/2016
08/02/2016
11/03/2016
02/13/2017
05/01/2017
