TLTXQ
LATEST_ANNOUNCEMENT_DT
4/18/1996
7/18/1996
10/17/1996
2/6/1997
4/24/1997
7/24/1997
10/23/1997
2/17/1998
4/23/1998
7/23/1998
10/22/1998
2/25/1999
4/29/1999
8/5/1999
10/28/1999
