MEI
LATEST_ANNOUNCEMENT_DT
6/19/1996
8/21/1996
11/20/1996
2/25/1997
6/25/1997
8/26/1997
11/25/1997
2/26/1998
6/23/1998
8/24/1998
11/23/1998
2/22/1999
6/21/1999
8/23/1999
11/23/1999
2/23/2000
6/6/2000
9/6/2000
11/30/2000
3/1/2001
6/26/2001
9/6/2001
11/29/2001
2/28/2002
6/18/2002
8/29/2002
11/26/2002
2/27/2003
6/26/2003
9/4/2003
12/4/2003
3/4/2004
6/24/2004
9/2/2004
12/2/2004
3/3/2005
6/23/2005
9/2/2005
12/7/2005
3/9/2006
7/13/2006
9/7/2006
12/7/2006
3/2/2007
7/12/2007
9/6/2007
12/6/2007
3/13/2008
7/17/2008
9/11/2008
12/9/2008
3/12/2009
7/2/2009
9/3/2009
12/10/2009
3/4/2010
7/1/2010
9/2/2010
12/9/2010
3/3/2011
6/30/2011
9/1/2011
12/8/2011
3/1/2012
6/28/2012
8/30/2012
12/6/2012
2/28/2013
6/20/2013
8/29/2013
12/5/2013
3/13/2014
6/26/2014
9/4/2014
12/11/2014
3/5/2015
6/25/2015
9/3/2015
12/10/2015
3/3/2016
06/23/2016
09/01/2016
12/08/2016
03/02/2017
06/22/2017
