MGLN
LATEST_ANNOUNCEMENT_DT
4/29/2004
7/29/2004
10/29/2004
3/3/2005
4/28/2005
7/28/2005
10/27/2005
3/7/2006
4/28/2006
7/28/2006
10/25/2006
2/28/2007
4/27/2007
7/27/2007
11/2/2007
2/29/2008
5/2/2008
7/31/2008
10/31/2008
2/27/2009
4/30/2009
7/31/2009
10/30/2009
2/26/2010
4/30/2010
7/29/2010
10/29/2010
2/24/2011
4/29/2011
7/29/2011
10/27/2011
2/28/2012
4/27/2012
7/27/2012
10/26/2012
2/28/2013
4/30/2013
7/25/2013
10/24/2013
3/3/2014
4/29/2014
7/25/2014
10/24/2014
2/26/2015
4/30/2015
7/27/2015
10/27/2015
2/29/2016
05/05/2016
07/29/2016
11/09/2016
02/24/2017
05/04/2017
