TFSIQ
LATEST_ANNOUNCEMENT_DT
4/8/1996
7/8/1996
10/8/1996
1/22/1997
4/8/1997
7/10/1997
10/8/1997
1/21/1998
4/9/1998
7/15/1998
10/14/1998
1/26/1999
4/15/1999
7/13/1999
10/14/1999
1/24/2000
4/12/2000
7/12/2000
10/11/2000
1/25/2001
4/17/2001
7/18/2001
10/17/2001
1/28/2002
4/18/2002
7/17/2002
10/16/2002
1/29/2003
4/22/2003
7/24/2003
10/23/2003
2/5/2004
4/27/2004
7/28/2004
10/28/2004
2/9/2005
5/17/2005
