LECH
LATEST_ANNOUNCEMENT_DT
5/29/1996
8/28/1996
11/25/1996
3/26/1997
5/28/1997
8/27/1997
11/24/1997
3/18/1998
5/27/1998
8/26/1998
11/23/1998
3/24/1999
5/26/1999
8/25/1999
11/22/1999
3/23/2000
5/24/2000
8/23/2000
11/22/2000
5/4/2001
5/24/2001
