SNX
LATEST_ANNOUNCEMENT_DT
1/8/2004
3/25/2004
6/24/2004
9/29/2004
1/12/2005
3/29/2005
6/28/2005
9/27/2005
1/11/2006
3/23/2006
6/22/2006
9/21/2006
1/9/2007
3/22/2007
6/25/2007
9/24/2007
1/10/2008
3/20/2008
6/26/2008
9/25/2008
1/8/2009
3/26/2009
6/30/2009
9/21/2009
1/5/2010
3/25/2010
6/24/2010
9/29/2010
1/11/2011
3/24/2011
6/28/2011
9/27/2011
1/10/2012
3/27/2012
6/25/2012
9/25/2012
1/10/2013
3/27/2013
6/25/2013
9/25/2013
1/9/2014
4/3/2014
7/2/2014
9/29/2014
1/12/2015
3/31/2015
6/25/2015
9/28/2015
1/7/2016
3/28/2016
06/23/2016
09/26/2016
01/10/2017
03/27/2017
