CMP
LATEST_ANNOUNCEMENT_DT
2/12/2004
5/4/2004
8/3/2004
11/10/2004
2/7/2005
5/2/2005
8/1/2005
10/31/2005
2/14/2006
5/2/2006
7/31/2006
10/30/2006
2/12/2007
4/30/2007
7/30/2007
10/29/2007
2/11/2008
4/28/2008
7/28/2008
10/28/2008
2/9/2009
4/27/2009
7/28/2009
10/27/2009
2/8/2010
4/27/2010
7/27/2010
10/26/2010
2/8/2011
4/27/2011
7/28/2011
10/26/2011
2/7/2012
4/26/2012
7/30/2012
10/29/2012
2/6/2013
4/29/2013
7/29/2013
10/28/2013
2/10/2014
4/28/2014
7/28/2014
10/27/2014
2/9/2015
4/27/2015
7/27/2015
10/27/2015
02/08/2016
04/25/2016
07/25/2016
10/24/2016
02/08/2017
04/24/2017
