HFC
LATEST_ANNOUNCEMENT_DT
6/7/1996
9/13/1996
12/12/1996
3/7/1997
6/6/1997
9/26/1997
12/11/1997
3/6/1998
6/12/1998
9/30/1998
12/10/1998
3/5/1999
6/10/1999
9/24/1999
12/10/1999
3/10/2000
6/9/2000
9/22/2000
12/15/2000
3/9/2001
6/8/2001
9/21/2001
12/13/2001
3/8/2002
6/7/2002
9/20/2002
12/12/2002
3/7/2003
11/4/2004
2/19/2004
5/7/2004
8/4/2004
11/4/2004
2/16/2005
5/5/2005
8/4/2005
11/7/2005
2/13/2006
5/8/2006
8/2/2006
11/1/2006
2/12/2007
5/8/2007
8/9/2007
11/6/2007
2/19/2008
5/12/2008
8/6/2008
11/4/2008
2/17/2009
5/7/2009
8/10/2009
11/5/2009
2/25/2010
5/6/2010
8/5/2010
11/4/2010
2/24/2011
5/5/2011
8/5/2011
11/8/2011
2/28/2012
5/7/2012
8/8/2012
11/7/2012
2/26/2013
5/7/2013
8/7/2013
11/6/2013
2/25/2014
5/6/2014
8/6/2014
11/5/2014
2/25/2015
5/6/2015
8/5/2015
11/5/2015
2/24/2016
05/04/2016
08/03/2016
11/03/2016
02/22/2017
05/03/2017
