ELY
LATEST_ANNOUNCEMENT_DT
4/17/1996
7/17/1996
10/16/1996
1/22/1997
4/16/1997
7/16/1997
10/22/1997
1/28/1998
4/22/1998
7/22/1998
10/21/1998
1/27/1999
4/28/1999
7/28/1999
10/27/1999
1/26/2000
4/26/2000
7/26/2000
10/25/2000
1/22/2001
4/25/2001
7/25/2001
10/18/2001
1/17/2002
4/18/2002
7/18/2002
10/17/2002
2/6/2003
4/23/2003
7/17/2003
10/23/2003
1/22/2004
4/22/2004
7/22/2004
10/19/2004
1/20/2005
4/21/2005
7/21/2005
10/26/2005
1/25/2006
4/26/2006
7/26/2006
11/1/2006
2/8/2007
5/3/2007
8/1/2007
11/1/2007
1/31/2008
5/1/2008
7/30/2008
10/30/2008
1/27/2009
4/30/2009
7/29/2009
10/29/2009
1/26/2010
4/29/2010
7/28/2010
10/26/2010
1/25/2011
4/28/2011
7/26/2011
10/27/2011
1/25/2012
4/26/2012
7/26/2012
10/25/2012
1/30/2013
4/25/2013
7/25/2013
10/24/2013
1/29/2014
4/23/2014
7/24/2014
10/23/2014
1/29/2015
4/23/2015
7/29/2015
10/21/2015
2/4/2016
04/27/2016
07/27/2016
11/03/2016
02/02/2017
04/26/2017
