ICUI
LATEST_ANNOUNCEMENT_DT
4/18/1996
7/18/1996
10/18/1996
2/3/1997
4/17/1997
7/17/1997
10/16/1997
2/2/1998
4/16/1998
7/17/1998
10/15/1998
2/1/1999
4/15/1999
7/15/1999
10/18/1999
1/31/2000
4/18/2000
7/18/2000
10/18/2000
1/29/2001
4/18/2001
7/18/2001
10/18/2001
2/4/2002
4/18/2002
7/18/2002
10/17/2002
2/3/2003
4/17/2003
7/17/2003
10/16/2003
2/2/2004
4/15/2004
7/16/2004
10/18/2004
2/2/2005
4/18/2005
7/18/2005
10/18/2005
1/30/2006
4/18/2006
7/18/2006
10/18/2006
1/29/2007
4/18/2007
7/18/2007
10/18/2007
1/28/2008
4/17/2008
7/17/2008
10/16/2008
2/2/2009
4/16/2009
7/20/2009
10/19/2009
2/1/2010
4/19/2010
7/19/2010
10/18/2010
1/31/2011
4/18/2011
7/18/2011
10/17/2011
1/30/2012
4/16/2012
7/16/2012
10/15/2012
2/4/2013
4/22/2013
7/18/2013
10/21/2013
2/12/2014
5/6/2014
8/11/2014
11/10/2014
2/9/2015
5/5/2015
8/10/2015
11/5/2015
2/3/2016
05/10/2016
08/08/2016
11/09/2016
03/01/2017
05/09/2017
