BOFI
LATEST_ANNOUNCEMENT_DT
5/9/2005
3/24/2010
1/26/2005
2/24/2005
5/9/2005
8/18/2005
11/10/2005
2/9/2006
5/10/2006
8/9/2006
11/6/2006
1/30/2007
5/2/2007
8/10/2007
11/7/2007
2/5/2008
5/6/2008
8/19/2008
11/6/2008
2/4/2009
5/6/2009
9/1/2009
11/3/2009
2/4/2010
4/29/2010
8/12/2010
11/4/2010
2/3/2011
5/5/2011
8/11/2011
11/8/2011
2/2/2012
5/3/2012
8/9/2012
11/8/2012
2/6/2013
5/8/2013
8/7/2013
11/5/2013
2/5/2014
5/6/2014
8/7/2014
11/4/2014
1/29/2015
4/30/2015
7/30/2015
10/29/2015
1/28/2016
04/28/2016
08/02/2016
10/27/2016
01/30/2017
04/27/2017
