MCF
LATEST_ANNOUNCEMENT_DT
9/30/1999
12/31/1999
3/31/2000
6/30/2000
9/30/2000
2/14/2001
5/14/2001
9/5/2001
11/13/2001
2/13/2002
5/2/2002
9/26/2002
11/11/2002
2/11/2003
5/13/2003
9/16/2003
11/10/2003
2/13/2004
5/12/2004
9/27/2004
11/12/2004
2/14/2005
5/9/2005
9/13/2005
11/14/2005
2/13/2006
5/15/2006
9/12/2006
11/8/2006
2/8/2007
5/9/2007
9/13/2007
11/7/2007
2/8/2008
5/12/2008
8/29/2008
11/10/2008
2/9/2009
5/11/2009
9/11/2009
11/9/2009
2/9/2010
5/7/2010
9/13/2010
11/9/2010
2/9/2011
5/10/2011
8/29/2011
11/9/2011
2/9/2012
5/9/2012
8/29/2012
11/9/2012
2/11/2013
5/10/2013
3/28/2014
5/12/2014
8/11/2014
11/10/2014
3/2/2015
5/11/2015
8/6/2015
11/4/2015
3/14/2016
05/09/2016
08/03/2016
11/02/2016
03/15/2017
