UTIW
LATEST_ANNOUNCEMENT_DT
12/7/2000
4/4/2001
6/5/2001
9/5/2001
12/4/2001
4/3/2002
6/5/2002
9/4/2002
12/3/2002
4/2/2003
6/10/2003
9/10/2003
12/10/2003
4/6/2004
6/7/2004
9/7/2004
12/7/2004
4/7/2005
6/9/2005
9/8/2005
12/6/2005
3/29/2006
6/7/2006
9/7/2006
12/7/2006
3/29/2007
6/7/2007
9/6/2007
12/6/2007
3/27/2008
6/5/2008
9/4/2008
12/4/2008
3/26/2009
6/4/2009
9/3/2009
12/3/2009
3/25/2010
6/3/2010
9/2/2010
12/2/2010
3/24/2011
6/2/2011
9/1/2011
12/1/2011
3/22/2012
6/7/2012
9/6/2012
12/6/2012
3/28/2013
6/6/2013
9/6/2013
12/5/2013
3/31/2014
6/5/2014
9/4/2014
12/9/2014
3/31/2015
6/4/2015
9/3/2015
12/10/2015
