BBR
LATEST_ANNOUNCEMENT_DT
4/15/1996
7/15/1996
10/16/1996
1/24/1997
4/15/1997
7/16/1997
10/14/1997
1/26/1998
4/16/1998
7/16/1998
10/15/1998
1/26/1999
4/16/1999
7/19/1999
10/15/1999
1/27/2000
4/17/2000
7/17/2000
10/16/2000
1/25/2001
4/16/2001
7/17/2001
10/15/2001
2/1/2002
4/15/2002
7/17/2002
10/21/2002
2/4/2003
4/24/2003
7/29/2003
10/30/2003
2/15/2004
