CIMA
LATEST_ANNOUNCEMENT_DT
4/26/1996
7/24/1996
10/23/1996
2/19/1997
4/25/1997
7/24/1997
10/23/1997
2/19/1998
4/23/1998
7/23/1998
10/22/1998
2/24/1999
4/22/1999
7/22/1999
10/22/1999
2/24/2000
5/3/2000
8/8/2000
10/26/2000
2/22/2001
5/3/2001
8/2/2001
11/1/2001
2/21/2002
5/1/2002
7/31/2002
10/31/2002
2/20/2003
5/1/2003
7/31/2003
10/30/2003
2/26/2004
5/6/2004
8/6/2004
