SCVL
LATEST_ANNOUNCEMENT_DT
5/29/1996
8/22/1996
11/21/1996
3/5/1997
5/15/1997
8/14/1997
11/12/1997
2/25/1998
5/14/1998
8/13/1998
11/13/1998
3/9/1999
5/20/1999
8/18/1999
11/17/1999
3/9/2000
5/18/2000
8/17/2000
12/12/2000
3/7/2001
5/17/2001
8/9/2001
11/15/2001
3/6/2002
5/16/2002
8/15/2002
11/21/2002
3/13/2003
5/15/2003
8/19/2003
11/18/2003
3/11/2004
5/13/2004
8/12/2004
11/16/2004
3/10/2005
5/19/2005
8/23/2005
11/17/2005
3/16/2006
5/18/2006
8/17/2006
11/16/2006
3/15/2007
5/24/2007
8/23/2007
11/20/2007
3/20/2008
5/29/2008
8/21/2008
11/20/2008
3/19/2009
5/28/2009
8/27/2009
11/19/2009
3/18/2010
6/2/2010
8/25/2010
11/18/2010
3/17/2011
5/19/2011
8/25/2011
11/17/2011
3/21/2012
5/17/2012
8/23/2012
11/19/2012
4/1/2013
5/23/2013
8/29/2013
12/2/2013
3/20/2014
5/22/2014
9/3/2014
12/1/2014
3/18/2015
5/20/2015
9/1/2015
11/30/2015
3/17/2016
03/23/2017
