UNS
LATEST_ANNOUNCEMENT_DT
4/22/1996
7/31/1996
10/21/1996
1/27/1997
4/24/1997
7/31/1997
10/16/1997
1/28/1998
4/27/1998
7/21/1998
10/15/1998
2/8/1999
4/23/1999
7/29/1999
10/15/1999
1/27/2000
4/26/2000
7/24/2000
11/14/2000
2/2/2001
4/27/2001
7/27/2001
10/22/2001
2/1/2002
4/26/2002
7/26/2002
10/29/2002
1/31/2003
4/26/2003
7/30/2003
10/23/2003
2/17/2004
5/3/2004
8/23/2004
11/4/2004
2/7/2005
5/5/2005
8/7/2005
11/3/2005
3/2/2006
5/4/2006
8/7/2006
11/1/2006
2/28/2007
5/4/2007
8/6/2007
11/1/2007
2/28/2008
5/8/2008
8/6/2008
11/6/2008
2/26/2009
5/4/2009
8/3/2009
10/28/2009
2/24/2010
4/30/2010
8/3/2010
10/27/2010
2/28/2011
5/2/2011
8/4/2011
10/31/2011
2/27/2012
4/30/2012
7/30/2012
11/2/2012
2/26/2013
4/29/2013
7/30/2013
11/6/2013
2/25/2014
4/28/2014
7/29/2014
