SNIC
LATEST_ANNOUNCEMENT_DT
4/29/1996
8/6/1996
10/31/1996
1/30/1997
4/29/1997
7/23/1997
11/4/1997
1/29/1998
4/28/1998
7/30/1998
10/29/1998
1/28/1999
4/26/1999
7/29/1999
11/2/1999
2/14/2000
5/9/2000
8/1/2000
11/1/2000
2/8/2001
5/14/2001
7/31/2001
11/8/2001
2/5/2002
5/2/2002
7/25/2002
11/7/2002
1/30/2003
5/5/2003
7/30/2003
10/30/2003
2/3/2004
5/4/2004
8/2/2004
11/8/2004
2/8/2005
5/16/2005
8/15/2005
11/8/2005
2/8/2006
5/23/2006
8/8/2006
11/8/2006
2/26/2008
2/26/2008
5/5/2008
5/5/2008
5/5/2008
6/10/2008
8/11/2008
11/5/2008
2/5/2009
5/28/2009
8/6/2009
11/5/2009
2/4/2010
6/7/2010
8/4/2010
11/9/2010
2/8/2011
