CREE
LATEST_ANNOUNCEMENT_DT
8/5/1993
10/28/1993
1/24/1994
5/3/1994
7/27/1994
11/7/1994
1/31/1995
5/1/1995
8/1/1995
11/1/1995
2/1/1996
4/17/1996
8/1/1996
10/24/1996
1/29/1997
4/30/1997
8/4/1997
10/16/1997
1/15/1998
4/15/1998
7/28/1998
10/15/1998
1/14/1999
4/15/1999
7/27/1999
10/14/1999
1/3/2000
4/13/2000
7/27/2000
10/12/2000
1/11/2001
4/11/2001
7/24/2001
10/11/2001
1/10/2002
4/11/2002
7/30/2002
10/17/2002
1/16/2003
4/16/2003
7/29/2003
10/16/2003
1/15/2004
4/15/2004
7/27/2004
10/14/2004
1/13/2005
4/14/2005
8/11/2005
10/20/2005
1/19/2006
4/20/2006
8/10/2006
10/19/2006
1/18/2007
4/19/2007
8/7/2007
10/18/2007
1/22/2008
4/22/2008
8/12/2008
10/21/2008
1/20/2009
4/21/2009
8/11/2009
10/20/2009
1/19/2010
4/20/2010
8/10/2010
10/19/2010
1/18/2011
4/19/2011
8/9/2011
10/18/2011
1/17/2012
4/17/2012
8/7/2012
10/16/2012
1/22/2013
4/23/2013
8/13/2013
10/22/2013
1/21/2014
4/22/2014
8/12/2014
10/21/2014
1/20/2015
4/21/2015
8/11/2015
10/20/2015
01/19/2016
04/26/2016
08/16/2016
10/18/2016
01/24/2017
04/25/2017
